Real,Real,Pred
161121.0,161121.0,158221.33260199436
83428.0,83428.0,81934.18708664089
40647.0,40647.0,36212.87618423585
23878.0,23878.0,21062.74092191414
19555.0,19555.0,18069.10474451485
17055.0,17055.0,16095.027711311182
5900.0,5900.0,5420.303012298547
14958.0,14958.0,14704.583246539292
13566.0,13566.0,13679.875567132169
12822.0,12822.0,12899.917204850168
11919.0,11919.0,12292.180619777351
11169.0,11169.0,11810.576832680435
10645.0,10645.0,11424.44539679017
10192.0,10192.0,11112.626614007268
9969.0,9969.0,10860.074968613519
9625.0,9625.0,10655.827981304825
9317.0,9317.0,10491.737602238845
6004.0,6004.0,5413.32636369227
9069.0,9069.0,10361.650284333213
9148.0,9148.0,10260.861393167848
8782.0,8782.0,10185.743043359129
9033.0,9033.0,10133.484845024099
8829.0,8829.0,10101.910132417474
8875.0,8875.0,10089.343897579074
9270.0,9270.0,10094.516970118953
8975.0,8975.0,10116.496194301402
9541.0,9541.0,10154.63370260875
9651.0,9651.0,10208.530590838098
5812.0,5812.0,5414.327061836706
9744.0,9744.0,10278.01179124267
9544.0,9544.0,10363.109978474324
10598.0,10598.0,10581.282627154837
11551.0,11551.0,10867.309079666084
12049.0,12049.0,11228.916656109584
13731.0,13731.0,11678.007081386204
13106.0,13106.0,12231.956969181494
17260.0,17260.0,12915.814200868717
19728.0,19728.0,13765.981598729484
24392.0,24392.0,14836.551526996014
6359.0,6359.0,5422.811965867513
33217.0,33217.0,16210.69130389148
56691.0,56691.0,18022.385797381543
500000.0,500000.0,20501.388830788543
500000.0,500000.0,24076.434023120895
500000.0,500000.0,500000.0
440701.0,440701.0,431415.65734845126
240993.0,240993.0,174272.89239184852
96402.0,96402.0,88558.76043109324
13080.0,13080.0,11418.694522842394
7917.0,7917.0,7136.135143154698
6288.0,6288.0,5438.440198869605
4023.0,4023.0,4574.524874022459
2899.0,2899.0,3735.0283903755053
2680.0,2680.0,3573.0875909474616
2732.0,2732.0,3468.7783477099174
2662.0,2662.0,3397.649620967069
2664.0,2664.0,3347.499478333449
2636.0,2636.0,3311.5729610729295
2656.0,2656.0,3285.8416842879474
