Real,Real,AM,ML
500000.0,500000.0,1570.4609218436876, 461606.91485289374
500000.0,500000.0,1729.7007120033704, 493319.86325636547
5818.0,5818.0,5435.933873750843, 6752.608059065793
500000.0,500000.0,500000.0, 463041.84128404706
500000.0,500000.0,500000.0, 461393.4366038524
500000.0,500000.0,500000.0, 456448.222563268
500000.0,500000.0,500000.0, 448206.1991622941
161121.0,161121.0,158221.33260199436, 148606.3873794943
83428.0,83428.0,81934.18708664089, 147756.55070142713
40647.0,40647.0,36212.87618423585, 68212.14039299719
23878.0,23878.0,21062.74092191414, 1252.8257949116858
19555.0,19555.0,18069.10474451485, 788.1668736829931
17055.0,17055.0,16095.027711311182, 323.5079524543078
5900.0,5900.0,5420.303012298547, 6661.180771073026
14958.0,14958.0,14704.583246539292, 10479.870989843226
13566.0,13566.0,13679.875567132169, 10409.88963289748
12822.0,12822.0,12899.917204850168, 10339.908275951737
11919.0,11919.0,12292.180619777351, 10269.926919005993
11169.0,11169.0,11810.576832680435, 10475.11559748787
10645.0,10645.0,11424.44539679017, 10405.134240542122
10192.0,10192.0,11112.626614007268, 10335.152883596393
9969.0,9969.0,10860.074968613519, 10265.171526650649
9625.0,9625.0,10655.827981304825, 10195.190169704905
9317.0,9317.0,10491.737602238845, 10125.208812759161
6004.0,6004.0,5413.32636369227, 6569.75348308026
9069.0,9069.0,10361.650284333213, 10055.227455813414
9148.0,9148.0,10260.861393167848, 9985.24609886767
8782.0,8782.0,10185.743043359129, 9915.264741921927
9033.0,9033.0,10133.484845024099, 9845.283384976197
8829.0,8829.0,10101.910132417474, 9775.302028030454
8875.0,8875.0,10089.343897579074, 9705.320671084706
9270.0,9270.0,10094.516970118953, 9635.339314138962
8975.0,8975.0,10116.496194301402, 9565.357957193219
9541.0,9541.0,10154.63370260875, 9495.376600247475
9651.0,9651.0,10208.530590838098, 9425.395243301731
5812.0,5812.0,5414.327061836706, 6478.326195087493
9744.0,9744.0,10278.01179124267, 9355.413886355998
9544.0,9544.0,10363.109978474324, 9285.432529410255
10598.0,10598.0,10581.282627154837, 9145.469815518767
11551.0,11551.0,10867.309079666084, 8730.337066199658
12049.0,12049.0,11228.916656109584, 8590.374352308183
13731.0,13731.0,11678.007081386204, 24505.68292329783
13106.0,13106.0,12231.956969181494, 28104.171449206788
17260.0,17260.0,12915.814200868717, 31702.659975115745
19728.0,19728.0,13765.981598729484, 35301.1485010247
24392.0,24392.0,14836.551526996014, -8963.040952592051
6359.0,6359.0,5422.811965867513, 6386.898907094726
33217.0,33217.0,16210.69130389148, -3492.416582828107
56691.0,56691.0,18022.385797381543, 99653.55480564889
500000.0,500000.0,20501.388830788543, 460346.141315545
500000.0,500000.0,24076.434023120895, 492059.0897190168
500000.0,500000.0,500000.0, 422914.46785024286
440701.0,440701.0,431415.65734845126, 389690.0558084111
240993.0,240993.0,174272.89239184852, 290016.81968291587
96402.0,96402.0,88558.76043109324, 112254.11773410697
13080.0,13080.0,11418.694522842394, -36348.65729020084
7917.0,7917.0,7136.135143154698, -35871.16379532293
6288.0,6288.0,5438.440198869605, 6295.471619101974
4023.0,4023.0,4574.524874022459, -2216.632542333627
2899.0,2899.0,3735.0283903755053, 170.83493205587436
2680.0,2680.0,3573.0875909474616, 1364.568669250625
2732.0,2732.0,3468.7783477099174, 2558.3024064453753
2662.0,2662.0,3397.649620967069, 3752.036143640126
2664.0,2664.0,3347.499478333449, 4945.769880834877
2636.0,2636.0,3311.5729610729295, 6139.503618029642
2656.0,2656.0,3285.8416842879474, 7333.237355224393
2983.0,2983.0,3267.767789301766, 8526.971092419142
2930.0,2930.0,3255.686473411104, 9720.704829613893
6789.0,6789.0,5461.001019761321, 6204.044331109208
3150.0,3150.0,3248.474129265067, 10914.438566808643
3380.0,3380.0,3245.359420487695, 12108.172304003408
3486.0,3486.0,3245.810745531641, 13301.906041198159
3549.0,3549.0,3249.466856228896, 51719.8839631016
3975.0,3975.0,3256.09308722511, 52141.24828801591
3945.0,3945.0,3265.553513315669, 52562.612612930214
4252.0,4252.0,3277.7935099703313, 52983.97693784451
4344.0,4344.0,3292.829507351045, 53405.34126275882
4650.0,4650.0,3310.7440888122724, 53826.70558767312
4814.0,4814.0,3331.68544082506, -6176.89129691759
7010.0,7010.0,5490.398721250333, 6112.617043116441
5273.0,5273.0,3355.870754681482, -4377.647033963115
5383.0,5383.0,3383.593653917107, -2578.4027710086334
6722.0,6722.0,3415.236172789665, -779.1585080541656
6767.0,6767.0,3451.2863246409725, 1020.0857549003165
6855.0,6855.0,3492.3629694818114, 2819.3300178547984
7422.0,7422.0,3539.250649647179, 4618.574280809274
9494.0,9494.0,3654.7397970200827, 8217.06280671823
12000.0,12000.0,3809.804313099042, 11815.551332627187
15176.0,15176.0,4025.626798120041, 15414.039858536144
24030.0,24030.0,4342.78736882828, 19012.528384445108
500000.0,500000.0,500000.0, 449211.0241116296
7390.0,7390.0,5526.643032097856, 6021.189755123674
43264.0,43264.0,4849.600438308564, 22611.016910354057
31683.0,31683.0,5780.901856763927, 26209.50543626302
44124.0,44124.0,8035.948769365122, 29807.99396217198
67491.0,67491.0,21195.939300266968, 134258.26869962795
106145.0,106145.0,500000.0, 166583.89169761472
295751.0,295751.0,500000.0, 198909.51469560145
500000.0,500000.0,500000.0, 461564.88906831545
500000.0,500000.0,414.5039636198776, 493277.8374717872
500000.0,500000.0,500000.0, 506025.7995924903
500000.0,500000.0,500000.0, 504520.34120628313
7610.0,7610.0,5569.844047124608, 5929.762467130908
500000.0,500000.0,500000.0, 500003.96604766196
500000.0,500000.0,500000.0, 492476.67411662644
241374.0,241374.0,239691.44840506872, 210518.27319198585
127554.0,127554.0,123432.86105714062, 177257.1278965687
57199.0,57199.0,53752.28137712412, 74479.84865634008
32245.0,32245.0,30657.40077611795, 14078.029284521008
26765.0,26765.0,26091.552619556787, 13773.342702179465
23039.0,23039.0,23079.271124418206, 13468.656119837924
20473.0,20473.0,20956.21556888017, 14019.63968354875
18661.0,18661.0,19390.31079475809, 13949.658326603021
7943.0,7943.0,5620.211106361168, 5838.335179138141
16968.0,16968.0,18197.163185112906, 13879.676969657276
15983.0,15983.0,17266.22787889212, 13809.695612711532
14540.0,14540.0,16527.24926509173, 14014.884291193406
14235.0,14235.0,15933.482118904114, 13944.902934247662
13322.0,13322.0,15452.657766377613, 13874.921577301919
12867.0,12867.0,15061.82288982833, 13804.940220356186
12435.0,12435.0,14744.243879738171, 13734.958863410442
12085.0,12085.0,14487.473208435593, 13664.977506464698
11658.0,11658.0,14282.099514266829, 13594.996149518955
